id,name,full_name,aliases,release_year,category_code,category,anatomy_primary,anatomy_target,modality_type,dimension,temporal,representation,scale,annotation_types,tasks,split_summary,access_level,license,paper_title,paper_venue,paper_doi,data_repository,data_url,data_doi,data_version,family_type,family_parent,family_related,verification_status,verification_date,notes
0001,UDIAT / Dataset B,Breast Ultrasound Dataset B,Dataset B,2017,00,Breast,Breast,Breast lesion,B-mode,2D,static,image,patient=163 | image=163,classification | segmentation,classification | segmentation,,application,Research-use licence agreement,Automated Breast Ultrasound Lesions Detection Using Convolutional Neural Networks,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2017.2731873,Manchester Metropolitan University,https://helward.mmu.ac.uk/STAFF/m.yap/dataset.php,,,primary,,,verified,2026-09-02,Images are from different women and may contain one or more lesions. The paper reports lesion delineations by experienced radiologists. The dataset is available through an application-based research-use workflow.
0002,OASBUD,Open Access Series of Breast Ultrasonic Data,,2017,00,Breast,Breast,Breast focal lesion,RF,2D,static,RF,patient=78 | lesion=100 | acquisition=200,classification | grading | segmentation,classification | segmentation | grading | signal_analysis,,open,CC BY-NC 4.0,Open access database of raw ultrasonic signals acquired from malignant and benign breast lesions,Medical Physics,10.1002/mp.12538,Zenodo,https://zenodo.org/records/545928,10.5281/zenodo.545928,v1,primary,,,verified,2026-09-02,Each lesion has two orthogonal RF acquisitions with paired binary ROI masks. B-mode images are not stored directly but can be generated from the RF echoes. Malignant lesions were histologically assessed by core-needle biopsy; some benign lesions were histologically assessed and the remainder were followed for two years. The two acquisitions from the same lesion should remain together when creating data splits.
0003,Medical Image Database,Medical Image Database,MID,2018,00,Breast,Breast,Breast lesion,B-mode,2D,static,image,patient=180 | image=195,classification | segmentation,segmentation | classification,,open,,Automatic initialization of active contours and level set method in ultrasound images of breast abnormalities,Pattern Recognition,10.1016/j.patcog.2018.01.032,Online Medical Images,https://www.onlinemedicalimages.com/index.php/en/site-map,,,primary,,,verified,2026-09-03,"The associated paper evaluates 180 images from 180 patients and uses 15 additional database images for parameter tuning. The live website contains additional ultrasound, Doppler, elastography, and ground-truth entries, but its catalog includes repeated or incompletely described records; therefore, the structured scale above follows the clearly defined paper cohort. The website delivers ground truth primarily as contour-overlaid images rather than a clearly documented bulk archive of binary masks."
0004,STU-Hospital,STU-Hospital,,2019,00,Breast,Breast,Breast lesion,B-mode,2D,static,image,image=42 | pair=42,segmentation,segmentation,,open,,An RDAU-NET model for lesion segmentation in breast ultrasound images,PLOS ONE,10.1371/journal.pone.0221535,GitHub,https://github.com/xbhlk/STU-Hospital,,,primary,,,verified,2026-09-03,"STU-Hospital is the public repository name rather than a formal dataset name defined in the paper. The 42 images constitute an external test subset of the paper's larger test cohort. The released masks are grayscale expert-aggregation masks rather than consistently binary masks, and many mask dimensions differ from the released 128 x 128 ultrasound images. The repository does not provide patient-level metadata, per-image benign/malignant labels, a formal dataset license, or official preprocessing instructions."
0005,BUSI,Dataset of Breast Ultrasound Images,Breast Ultrasound Images Dataset,2020,00,Breast,Breast,Breast lesion,B-mode,2D,static,image,patient=600 | image=780,classification | segmentation,classification | segmentation,,open,,Dataset of breast ultrasound images,Data in Brief,10.1016/j.dib.2019.104863,Cairo University,https://data.mendeley.com/datasets/k8t3gnx9h6/1,,,primary,,,verified,2026-09-02,"The dataset contains 780 images from 600 women. The widely used released-file distribution is 133 normal, 437 benign, and 210 malignant images. The original Data in Brief article contains an internal inconsistency in its class-count table, so the released-file distribution is used here. The Mendeley record 10.17632/k8t3gnx9h6.1 is a later supplementary resource about BUSI data issues and is not treated as the original BUSI dataset source."
0006,Breast lesion ultrasound video dataset,Breast lesion ultrasound video dataset,BUSV | BUV | BreastVid,2022,00,Breast,Breast,Breast lesion,B-mode,2D,cine,sequence,video=188 | frame=25272,classification | detection,detection | classification,,open,,A New Dataset and a Baseline Model for Breast Lesion Detection in Ultrasound Videos,Medical Image Computing and Computer-Assisted Intervention (MICCAI),10.1007/978-3-031-16437-8_59,GitHub,https://github.com/jhl-Det/CVA-Net,,,primary,,,verified,2026-09-03,"The original paper does not assign a formal dataset name; BUSV, BUV, and BreastVid are aliases used in later literature or catalogs. The repository distributes extracted PNG frames grouped by video rather than conventional encoded video files. A 2023 repository correction identifies one duplicated/wrongly labelled video and four same-patient videos requiring label correction; revised global totals were not explicitly reported, so the scale and class distribution above retain the paper-reported values with this caveat."
0007,Breast Ultrasound Image Database,Breast Ultrasound Image Database,QAMEBI,2022,00,Breast,Breast,Breast lesion,B-mode,2D,static,image,lesion=232 | image=232,classification | segmentation,classification | segmentation,,open,,An open-access breast lesion ultrasound image database: Applicable in artificial intelligence studies,Computers in Biology and Medicine,10.1016/j.compbiomed.2022.106438,QAMEBI,https://qamebi.com/breast-ultrasound-images-database/,,,primary,,,verified,2026-09-04,"The dataset contains 232 breast lesions, including 109 benign and 123 malignant lesions. Each lesion is represented by an original ultrasound image together with lesion-related annotation files on the official site. Patient-level identifiers, an official train/validation/test split, and a formal dataset license are not provided. The paper lists fine-needle aspiration, core-needle biopsy, and open biopsy among the reference methods; therefore, the broad label ""histopathologically proven"" should be interpreted with caution because fine-needle aspiration is cytologic sampling."
0008,BUS-BRA,BUS-BRA: A Breast Ultrasound Dataset for Assessing Computer-aided Diagnosis Systems,,2023,00,Breast,Breast,Breast tumor,B-mode,2D,static,image,patient=1064 | image=1875,classification | segmentation | detection | grading,classification | segmentation | detection | grading,,open,CC BY 4.0,BUS-BRA: A breast ultrasound dataset for assessing computer-aided diagnosis systems,Medical Physics,10.1002/mp.16812,Zenodo,https://zenodo.org/records/8231412,10.5281/zenodo.8231412,1.0,primary,,,verified,2026-09-04,"All images have corresponding lesion masks, and the released metadata also provide bounding boxes, pathology, histology, BI-RADS categories, and standardized 5-fold and 10-fold cross-validation partitions. Patient-level pathology counts are 722 benign and 342 malignant, whereas image-level counts are 1,268 benign and 607 malignant. One released bounding box does not exactly match its corresponding mask extent. The outer cross-validation folds keep images from the same patient together, while the separate inner-validation flags should be regenerated if fully patient-disjoint validation is required."
0009,BUSI_WHU,BUSI_WHU: Breast Cancer Ultrasound Image Dataset,,2023,00,Breast,Breast,Breast tumor,B-mode,2D,static,image,patient=816 | image=927,classification | segmentation | measurements,classification | segmentation | measurement,,open,CC BY 4.0,,,,Mendeley Data,https://data.mendeley.com/datasets/k6cpmwybk3/3,10.17632/k6cpmwybk3.3,3,primary,,,verified,2026-09-04,"Version 3 contains 927 image-mask pairs. The patient_index field identifies 816 patients; image-level class counts are 560 benign and 367 malignant, while patient-level counts are 560 benign and 256 malignant. The release provides patient-linked morphology and size measurements but does not document the annotation procedure, diagnostic reference standard, or an official train/validation/test split. No dedicated peer-reviewed dataset paper was identified, so the Mendeley Data DOI is recorded only under the data block and paper is set to null."
0010,TDSC-ABUS2023,"Tumor Detection, Segmentation and Classification Challenge on Automated 3D Breast Ultrasound 2023",,2023,00,Breast,Breast,Breast tumor,B-mode,3D,static,volume,case=200 | volume=200,classification | segmentation | detection,classification | segmentation | detection,case: training=100 | validation=30 | test=70,application,,"Tumor Detection, Segmentation and Classification Challenge on Automated 3D Breast Ultrasound: The TDSC-ABUS Challenge",arXiv,10.48550/arXiv.2501.15588,Grand Challenge,https://tdsc-abus2023.grand-challenge.org/Dataset/,,,primary,,,verified,2026-09-04,"The dataset contains 200 tumor-containing 3D ABUS cases. The official split is 100 training, 30 validation, and 70 test cases. The training data include NRRD volumes, voxel-level tumor masks, and benign/malignant labels. Access requires a signed agreement and organizer approval, so file-level verification was not performed."
